identifier,title,field,year,areaType,areaCode,datum,zipFileUrl,zipFileSize,zipfile_name
A22s,豪雪地帯統計情報,政策区域,2010,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A22s/A22s-10/A22s-10_01_GML.zip,57.49MB,A22s-10_01_GML.zip
A23,特殊土壌地帯,政策区域,1952,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-52/A23-521027_28_GML.zip,0.80MB,A23-521027_28_GML.zip
A23,特殊土壌地帯,政策区域,1955,3,28,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-55/A23-551001_28_GML.zip,0.80MB,A23-551001_28_GML.zip
A23,特殊土壌地帯,政策区域,1960,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-60/A23-601001_22_GML.zip,0.63MB,A23-601001_22_GML.zip
A23,特殊土壌地帯,政策区域,1965,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-65/A23-651001_22_GML.zip,0.63MB,A23-651001_22_GML.zip
A23,特殊土壌地帯,政策区域,1970,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-70/A23-701001_22_GML.zip,0.63MB,A23-701001_22_GML.zip
A23,特殊土壌地帯,政策区域,1975,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-75/A23-751001_22_GML.zip,0.63MB,A23-751001_22_GML.zip
A23,特殊土壌地帯,政策区域,1980,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-80/A23-801001_22_GML.zip,0.63MB,A23-801001_22_GML.zip
A23,特殊土壌地帯,政策区域,1985,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-85/A23-851001_22_GML.zip,0.63MB,A23-851001_22_GML.zip
A23,特殊土壌地帯,政策区域,1990,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-90/A23-901001_22_GML.zip,0.63MB,A23-901001_22_GML.zip
A23,特殊土壌地帯,政策区域,1995,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-95/A23-951001_22_GML.zip,0.63MB,A23-951001_22_GML.zip
A23,特殊土壌地帯,政策区域,2000,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-00/A23-001001_22_GML.zip,0.63MB,A23-001001_22_GML.zip
A23,特殊土壌地帯,政策区域,2005,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-05/A23-051001_22_GML.zip,0.63MB,A23-051001_22_GML.zip
A23,特殊土壌地帯,政策区域,2007,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-07/A23-070402_22_GML.zip,0.63MB,A23-070402_22_GML.zip
A23,特殊土壌地帯,政策区域,2016,3,22,1,http://nlftp.mlit.go.jp/ksj/gml/data/A23/A23-16/A23-16_22_GML.zip,0.67MB,A23-16_22_GML.zip
A24,振興山村,政策区域,1966,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-66/A24-660331_01_GML.zip,0.55MB,A24-660331_01_GML.zip
A24,振興山村,政策区域,1970,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-70/A24-701001_01_GML.zip,7.03MB,A24-701001_01_GML.zip
A24,振興山村,政策区域,1975,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-75/A24-751001_01_GML.zip,14.19MB,A24-751001_01_GML.zip
A24,振興山村,政策区域,1980,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-80/A24-801001_01_GML.zip,14.19MB,A24-801001_01_GML.zip
A24,振興山村,政策区域,1985,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-85/A24-851001_01_GML.zip,14.19MB,A24-851001_01_GML.zip
A24,振興山村,政策区域,1990,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-90/A24-901001_01_GML.zip,14.19MB,A24-901001_01_GML.zip
A24,振興山村,政策区域,1995,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-95/A24-951001_01_GML.zip,14.19MB,A24-951001_01_GML.zip
A24,振興山村,政策区域,2000,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-00/A24-001001_01_GML.zip,14.19MB,A24-001001_01_GML.zip
A24,振興山村,政策区域,2005,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-05/A24-051001_01_GML.zip,14.19MB,A24-051001_01_GML.zip
A24,振興山村,政策区域,2007,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-07/A24-070402_01_GML.zip,14.19MB,A24-070402_01_GML.zip
A24,振興山村,政策区域,2016,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A24/A24-16/A24-16_01_GML.zip,16.63MB,A24-16_01_GML.zip
A25,特定農山村地域,政策区域,1993,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-93/A25-930928_01_GML.zip,14.27MB,A25-930928_01_GML.zip
A25,特定農山村地域,政策区域,1995,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-95/A25-951001_01_GML.zip,14.27MB,A25-951001_01_GML.zip
A25,特定農山村地域,政策区域,2000,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-00/A25-001001_01_GML.zip,14.27MB,A25-001001_01_GML.zip
A25,特定農山村地域,政策区域,2005,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-05/A25-051001_01_GML.zip,14.27MB,A25-051001_01_GML.zip
A25,特定農山村地域,政策区域,2007,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-07/A25-070402_01_GML.zip,14.27MB,A25-070402_01_GML.zip
A25,特定農山村地域,政策区域,2016,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A25/A25-16/A25-16_01_GML.zip,17.21MB,A25-16_01_GML.zip
A26,土砂災害危険箇所,政策区域,2010,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A26/A26-10/A26-10_01_GML.zip,6.97MB,A26-10_01_GML.zip
A27,小学校区,政策区域,2010,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A27/A27-10/A27-10_01_GML.zip,20.03MB,A27-10_01_GML.zip
A27,小学校区,政策区域,2016,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A27/A27-16/A27-16_01_GML.zip,15.88MB,A27-16_01_GML.zip
A28,世界自然遺産,地域,2010,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A28/A28-10/A28-10_GML.zip,0.14MB,A28-10_GML.zip
A28,世界自然遺産,地域,2011,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A28/A28-11/A28-11_GML.zip,1.11MB,A28-11_GML.zip
A29,用途地域,国土（水・土地）,2011,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A29/A29-11/A29-11_01_GML.zip,2.85MB,A29-11_01_GML.zip
A30a5,土砂災害・雪崩メッシュ,政策区域,2011,4,3927,1,http://nlftp.mlit.go.jp/ksj/gml/data/A30a5/A30a5-11/A30a5-11_3927-jgd_GML.zip,0.01MB,A30a5-11_3927-jgd_GML.zip
A30b,竜巻等突風,政策区域,2011,1,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A30b/A30b-11/A30b-11_GML.zip,0.48MB,A30b-11_GML.zip
A31,浸水想定区域,政策区域,2012,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A31/A31-12/A31-12_01_GML.zip,290.71MB,A31-12_01_GML.zip
A32,中学校区,政策区域,2013,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A32/A32-13/A32-13_01.zip,17.0MB,A32-13_01.zip
A32,中学校区,政策区域,2016,3,1,1,http://nlftp.mlit.go.jp/ksj/gml/data/A32/A32-16/A32-16_01_GML.zip,15.15MB,A32-16_01_GML.zip
A33,土砂災害警戒区域,政策区域,2013,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A33/A33-13/A33-13_00_GML.zip,269.76MB,A33-13_00_GML.zip
A33,土砂災害警戒区域,政策区域,2015,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A33/A33-15/A33-15_00_GML.zip,444MB,A33-15_00_GML.zip
A33,土砂災害警戒区域,政策区域,2016,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A33/A33-16/A33-16_00_GML.zip,540.00MB,A33-16_00_GML.zip
A33,土砂災害警戒区域,政策区域,2017,3,0,1,http://nlftp.mlit.go.jp/ksj/gml/data/A33/A33-17/A33-17_00_GML.zip,1105.9MB,A33-17_00_GML.zip
